iter	Passed	Remaining
423	2806	503
424	2812	496
425	2817	489
426	2822	482
427	2831	476
428	2836	469
429	2846	463
430	2852	456
431	2858	449
432	2864	443
433	2870	436
434	2876	429
435	2882	423
436	2887	416
437	2893	409
438	2899	402
439	2904	396
440	2910	389
441	2916	382
442	2921	375
443	2925	369
444	2930	362
445	2935	355
446	2942	348
447	2948	342
448	2954	335
449	2960	328
450	2965	322
451	2970	315
452	2976	308
453	2982	302
454	2988	295
455	2994	288
456	2999	282
457	3004	275
458	3010	268
459	3016	262
460	3022	255
461	3028	249
462	3033	242
463	3039	235
464	3044	229
465	3049	222
466	3054	215
467	3060	209
468	3065	202
469	3070	195
470	3075	189
471	3080	182
472	3084	176
473	3091	169
474	3095	162
475	3100	156
476	3106	149
477	3110	143
478	3115	136
479	3119	129
480	3124	123
481	3128	116
482	3134	110
483	3140	103
484	3144	97
485	3149	90
486	3153	84
487	3158	77
488	3164	71
489	3171	64
490	3176	58
491	3181	51
492	3187	45
493	3192	38
494	3196	32
495	3202	25
496	3207	19
497	3210	12
498	3214	6
499	3220	0
